Comment,Designator,Footprint,LCSC Part #
"1u","C1","C0603","C15849"
"100n","C2","C0603","C14663"
"100n","C3","C0603","C14663"
"100n","C4","C0603","C14663"
"100n","C5","C0603","C14663"
"1N4148WS","D1","SOD-323","C2128"
"1N4148WS","D2","SOD-323","C2128"
"1N4148WS","D3","SOD-323","C2128"
"1N4148WS","D4","SOD-323","C2128"
"1N4148WS","D5","SOD-323","C2128"
"1N4148WS","D6","SOD-323","C2128"
"1N4148WS","D7","SOD-323","C2128"
"1N4148WS","D8","SOD-323","C2128"
"LED-RED-0603","D9","LED-0603","C2286"
"LED-WHITE-0603","D10","LED-0603","C2290"
"LED-WHITE-0603","D11","LED-0603","C2290"
"LED-WHITE-0603","D12","LED-0603","C2290"
"LED-RED-0603","D13","LED-0603","C2286"
"LED-RED-0603","D14","LED-0603","C2286"
"LED-RED-0603","D15","LED-0603","C2286"
"LED-RED-0603","D16","LED-0603","C2286"
"LED-RED-0603","D17","LED-0603","C2286"
"LED-BLUE-0603","D18","LED-0603","C72041"
"LED-BLUE-0603","D19","LED-0603","C72041"
"LED-GREEN-0603","D20","LED-0603","C72043"
"1N4148WS","D21","SOD-323","C2128"
"1N4148WS","D22","SOD-323","C2128"
"B5819W","D23","SOD-123","DNP"
"B5819W","D24","SOD-123","DNP"
"B5819W","D25","SOD-123","C8598"
"B5819W","D26","SOD-123","C8598"
"B5819W","D27","SOD-123","C8598"
"B5819W","D28","SOD-123","C8598"
"B5819W","D29","SOD-123","C8598"
"nSMD005","F1","PAD-1206-PAD","C369153"
"nSMD005","F2","PAD-1206-PAD","C369153"
"nSMD050","F3","PAD-1206-PAD","C720075"
"nSMD050","F4","PAD-1206-PAD","C720075"
"12H1500D","F5","PAD-1206-PAD","C182446"
"DISCLAIMER","G1","",""
"LOGO","G2","LOGO",""
"LOGO","G3","LOGO",""
"LOGO_AlphaECU","G4","alphax_logo_AlphaECU",""
"LOGO_AlphaX","G5","alphax_logo_AlphaX",""
"ALPHAX_QR_CODE","G6","alphax_qr_code",""
"USB_B_Mini","J1","USB-MINI-B-HORIZONTAL","C69074"
"Cortex_Debug","J2","PinHeader_2x05_P1.27mm_Vertical_SMD","C448647"
"Module:power12/0.2","M1","power12",""
