Designator,Mid X,Mid Y,Layer,Rotation
G2,66.9mm,4.2mm,Bottom,180.0
G3,42.146mm,5.7mm,Bottom,180.0
C1,28.5mm,74.2mm,Top,0.0
C2,77.05mm,13.8mm,Top,0.0
C3,21.2mm,25.0mm,Top,270.0
C4,48.1mm,6.15mm,Top,180.0
C5,9.75mm,40.35mm,Top,180.0
D1,18.901499mm,79.7mm,Top,0.0
D2,18.701499mm,74.787497mm,Top,0.0
D3,18.778mm,95.008mm,Top,0.0
D4,18.901499mm,81.287497mm,Top,0.0
D5,18.7mm,73.1mm,Top,0.0
D6,18.398502mm,102.012502mm,Top,0.0
D7,18.298502mm,86.512502mm,Top,180.0
D8,18.3mm,91.706mm,Top,180.0
D9,8.6mm,80.3mm,Top,270.0
D10,13.0mm,75.1mm,Top,270.0
D11,13.0mm,95.9mm,Top,270.0
D12,13.0mm,80.3mm,Top,270.0
D13,8.6mm,75.1mm,Top,270.0
D14,8.6mm,101.1mm,Top,270.0
D15,13.0mm,85.5mm,Top,270.0
D16,13.0mm,90.7mm,Top,270.0
D17,8.6mm,95.9mm,Top,270.0
D18,8.6mm,90.7mm,Top,270.0
D19,8.6mm,85.5mm,Top,270.0
D20,13.0mm,101.1mm,Top,270.0
D21,18.778mm,93.484mm,Top,0.0
D22,18.4mm,100.2mm,Top,0.0
D25,77.4mm,99.7mm,Top,90.0
D26,79.9mm,84.3mm,Top,0.0
D27,14.35mm,38.7mm,Top,0.0
D28,8.15mm,38.7mm,Top,180.0
D29,12.65mm,31.5mm,Top,0.0
F1,54.846mm,84.25mm,Top,270.0
F2,52.052mm,84.3mm,Top,270.0
F3,41.1mm,84.3mm,Top,270.0
F4,36.7mm,84.3mm,Top,270.0
F5,32.3mm,84.2mm,Top,270.0
J1,28.9mm,5.175mm,Top,90.0
J2,46.298607mm,12.1mm,Top,90.0
P1,30.75mm,92.599mm,Top,0.0
P2,61.958mm,73.1mm,Top,0.0
Q1,8.15mm,31.5mm,Top,270.0
Q2,8.5mm,46.4mm,Top,270.0
Q3,8.25mm,35.6mm,Top,270.0
Q4,7.5mm,49.15mm,Top,90.0
Q5,7.5mm,52.7mm,Top,90.0
Q6,69.625mm,76.875mm,Top,90.0
Q7,69.8mm,91.7mm,Top,90.0
Q8,78.2mm,91.7mm,Top,90.0
Q9,78.275mm,77.0mm,Top,90.0
Q10,14.4mm,42.4mm,Top,270.0
Q11,17.05mm,35.5mm,Top,180.0
Q12,56.878mm,74.1mm,Top,0.0
Q13,55.4mm,77.5mm,Top,0.0
Q14,52.9mm,74.1mm,Top,0.0
Q15,12.2mm,46.3mm,Top,270.0
Q16,11.0mm,49.2mm,Top,90.0
Q17,11.0mm,52.6mm,Top,90.0
Q18,16.896mm,31.398mm,Top,90.0
Q19,20.452mm,31.398mm,Top,270.0
Q20,20.8mm,51.7mm,Top,0.0
Q21,20.8mm,48.3mm,Top,0.0
R1,18.5mm,83.9mm,Top,180.0
R2,18.5mm,77.3mm,Top,0.0
R3,24.237135mm,71.386mm,Top,90.0
R4,18.524mm,88.912mm,Top,180.0
R5,18.5mm,97.6mm,Top,0.0
R6,72.4mm,103.4mm,Top,180.0
R7,59.164mm,84.8mm,Top,90.0
R8,49.836417mm,84.801579mm,Top,90.0
R9,47.882571mm,84.823049mm,Top,90.0
R10,43.3mm,84.8mm,Top,90.0
R11,24.5mm,84.8mm,Top,90.0
R12,27.2mm,84.8mm,Top,90.0
R13,72.4mm,101.0mm,Top,180.0
R14,72.4mm,98.9mm,Top,0.0
R15,57.132mm,84.8mm,Top,90.0
R16,45.4mm,84.8mm,Top,90.0
R17,38.9mm,84.8mm,Top,90.0
R18,34.5mm,84.8mm,Top,90.0
R19,30.0mm,84.8mm,Top,90.0
R20,61.196mm,84.848mm,Top,90.0
R21,7.4mm,61.2mm,Top,90.0
R22,7.4mm,70.6mm,Top,90.0
R23,7.4mm,56.8mm,Top,90.0
R24,7.4mm,66.1mm,Top,90.0
R25,12.45mm,35.5mm,Top,0.0
R26,15.5mm,48.8mm,Top,90.0
R27,19.944mm,41.25mm,Top,0.0
R28,37.828mm,12.204mm,Top,270.0
R29,17.9mm,52.2mm,Top,270.0
R30,59.418mm,74.2mm,Top,90.0
R31,58.16mm,77.6mm,Top,90.0
R32,50.5mm,76.466mm,Top,180.0
R33,50.6mm,77.99mm,Top,180.0
R34,10.65mm,61.2mm,Top,90.0
R35,10.65mm,70.6mm,Top,90.0
R36,10.622072mm,56.75999mm,Top,90.0
R37,10.65mm,66.1mm,Top,90.0
R38,21.0mm,28.8mm,Top,0.0
R39,20.452mm,34.192mm,Top,0.0
R40,30.7mm,78.2mm,Top,180.0
R41,21.15mm,45.45mm,Top,270.0
R42,19.05mm,50.15mm,Top,0.0
R43,22.55mm,45.45mm,Top,270.0
R44,15.7mm,52.9mm,Top,0.0
R45,15.7mm,51.5mm,Top,0.0
R46,47.95mm,1.65mm,Top,0.0
S1,44.65mm,3.55mm,Top,270.0
S2,38.15mm,3.55mm,Top,270.0
U1,27.414mm,69.5mm,Top,270.0
U2,6.85mm,42.3mm,Top,180.0
U3,77.2mm,6.4mm,Top,270.0
U4,13.2mm,14.1mm,Top,180.0
U5,48.6mm,3.85mm,Top,0.0
D411,17.786015mm,63.06289100000001mm,Top,180.0
C413,21.416015mm,62.237891000000005mm,Top,0.0
C412,26.166015mm,58.512891mm,Top,90.0
U410,21.641015000000003mm,59.752891000000005mm,Top,90.0
D416,15.616015mm,56.637891mm,Top,0.0
D418,18.491015mm,67.912891mm,Top,0.0
D414,26.591015000000002mm,61.537891mm,Top,0.0
R413,23.841015mm,64.037891mm,Top,180.0
C411,28.691015mm,62.447891000000006mm,Top,270.0
F410,18.866015mm,58.087891000000006mm,Top,270.0
D413,14.366015mm,59.43789100000001mm,Top,90.0
R410,21.216015mm,64.087891mm,Top,180.0
D412,16.568515mm,59.865391mm,Top,90.0
C410,28.216015000000002mm,58.487891000000005mm,Top,90.0
D417,24.241015mm,58.112891000000005mm,Top,90.0
R411,25.416015mm,62.81289100000001mm,Top,0.0
D410,26.666015mm,64.087891mm,Top,180.0
R420,24.7125mm,52.487499mm,Top,270.0
C429,25.6875mm,31.612499mm,Top,0.0
C427,24.4875mm,49.737499mm,Top,270.0
C428,25.8625mm,29.712499mm,Top,270.0
C423,27.2375mm,47.762499mm,Top,180.0
C421,25.6875mm,43.462499mm,Top,180.0
C422,27.2125mm,45.687499mm,Top,180.0
C424,27.2625mm,49.812499mm,Top,0.0
R421,24.5625mm,41.162499mm,Top,90.0
R422,25.6875mm,32.737499mm,Top,180.0
R423,24.7125mm,29.737499mm,Top,270.0
D420,28.3875mm,30.212499mm,Top,90.0
C420,29.6875mm,43.387499mm,Top,270.0
L420,27.6125mm,52.312499mm,Top,0.0
U420,27.5375mm,37.762499mm,Top,180.0
D421,27.1125mm,16.537499mm,Top,180.0
C425,25.2375mm,27.437499mm,Top,180.0
C426,25.1875mm,19.462499mm,Top,180.0
L421,27.7375mm,23.462499mm,Top,270.0
C751,31.549999999999997mm,67.35000000000001mm,Top,180.0
C752,31.049999999999997mm,61.095000000000006mm,Top,270.0
C753,33.05mm,61.970000000000006mm,Top,270.0
C754,33.57mm,58.45mm,Top,0.0
C755,43.95mm,73.5mm,Top,0.0
C756,41.065mm,74.85000000000001mm,Top,180.0
C757,38.79mm,67.37mm,Top,180.0
C758,33.53mm,67.35000000000001mm,Top,180.0
