Designator,Mid X,Mid Y,Layer,Rotation
D30,7.5mm,52.7375mm,Bottom,90.0
D31,7.5mm,56.7375mm,Bottom,90.0
G2,77.15mm,3.81mm,Bottom,180.0
G3,41.86mm,5.49mm,Bottom,180.0
J7,61.0mm,62.3mm,Bottom,90.0
J8,66.6mm,62.3mm,Bottom,90.0
C2,77.05mm,13.8mm,Top,0.0
C3,22.16mm,24.08mm,Top,90.0
C5,9.75mm,40.6mm,Top,180.0
D1,18.901499mm,79.7mm,Top,0.0
D2,18.701499mm,74.787497mm,Top,0.0
D3,18.778mm,95.008mm,Top,0.0
D4,18.901499mm,81.287497mm,Top,0.0
D5,18.7mm,73.1mm,Top,0.0
D6,18.398502mm,102.012502mm,Top,0.0
D7,18.298502mm,86.512502mm,Top,180.0
D8,18.3mm,91.706mm,Top,180.0
D9,8.6mm,80.3mm,Top,270.0
D10,13.0mm,75.1mm,Top,270.0
D11,13.0mm,95.9mm,Top,270.0
D12,13.0mm,80.3mm,Top,270.0
D13,8.6mm,75.1mm,Top,270.0
D14,8.6mm,101.1mm,Top,270.0
D15,13.0mm,85.5mm,Top,270.0
D16,13.0mm,90.7mm,Top,270.0
D17,8.6mm,95.9mm,Top,270.0
D18,8.6mm,90.7mm,Top,270.0
D19,8.6mm,85.5mm,Top,270.0
D20,13.0mm,101.1mm,Top,270.0
D21,18.778mm,93.484mm,Top,0.0
D22,18.4mm,100.2mm,Top,0.0
D23,8.9mm,31.57mm,Top,270.0
D24,6.06mm,35.365mm,Top,270.0
D25,77.4mm,99.7mm,Top,90.0
D26,79.9mm,84.3mm,Top,0.0
D27,14.35mm,38.7mm,Top,0.0
D28,8.15mm,38.8mm,Top,180.0
D29,12.9mm,32.7mm,Top,0.0
F1,54.846mm,84.25mm,Top,270.0
F2,52.052mm,84.3mm,Top,270.0
F3,41.1mm,84.3mm,Top,270.0
F4,36.7mm,84.3mm,Top,270.0
F5,32.3mm,84.2mm,Top,270.0
J1,28.91mm,6.475mm,Top,90.0
J2,53.598607mm,5.0mm,Top,90.0
P1,30.75mm,92.599mm,Top,0.0
P2,61.958mm,73.1mm,Top,0.0
P3,60.4mm,1.9mm,Top,0.0
P4,60.4mm,4.8mm,Top,0.0
Q1,12.79mm,29.91mm,Top,0.0
Q2,8.5mm,46.4mm,Top,270.0
Q4,7.5mm,49.15mm,Top,90.0
Q5,7.5mm,52.7mm,Top,90.0
Q6,69.61mm,75.77mm,Top,90.0
Q7,69.79mm,90.59mm,Top,90.0
Q8,78.22mm,90.6mm,Top,90.0
Q9,78.29mm,75.89mm,Top,90.0
Q10,14.4mm,42.4mm,Top,270.0
Q11,17.05mm,35.5mm,Top,180.0
Q12,56.878mm,74.1mm,Top,0.0
Q13,55.4mm,77.5mm,Top,0.0
Q14,52.9mm,74.1mm,Top,0.0
Q15,12.2mm,46.3mm,Top,270.0
Q16,11.0mm,49.2mm,Top,90.0
Q17,11.0mm,52.6mm,Top,90.0
Q18,16.896mm,31.398mm,Top,90.0
Q19,20.452mm,31.398mm,Top,270.0
Q20,20.8mm,51.7mm,Top,0.0
Q21,20.8mm,48.3mm,Top,0.0
Q22,8.63mm,35.51mm,Top,0.0
R1,18.5mm,83.9mm,Top,180.0
R2,18.5mm,77.3mm,Top,0.0
R4,18.524mm,88.912mm,Top,180.0
R5,18.5mm,97.6mm,Top,0.0
R6,72.4mm,103.4mm,Top,180.0
R7,59.164mm,84.8mm,Top,90.0
R8,49.836417mm,84.801579mm,Top,90.0
R9,47.882571mm,84.823049mm,Top,90.0
R10,43.3mm,84.8mm,Top,90.0
R11,24.5mm,84.8mm,Top,90.0
R12,27.2mm,84.8mm,Top,90.0
R13,72.4mm,101.0mm,Top,180.0
R14,72.4mm,98.9mm,Top,0.0
R15,57.132mm,84.8mm,Top,90.0
R16,45.4mm,84.8mm,Top,90.0
R17,38.9mm,84.8mm,Top,90.0
R18,34.5mm,84.8mm,Top,90.0
R19,30.0mm,84.8mm,Top,90.0
R20,61.196mm,84.848mm,Top,90.0
R21,7.4mm,61.2mm,Top,90.0
R22,7.4mm,70.6mm,Top,90.0
R23,7.4mm,56.8mm,Top,90.0
R24,7.4mm,66.1mm,Top,90.0
R25,12.57mm,35.48mm,Top,0.0
R26,15.5mm,48.8mm,Top,90.0
R27,19.944mm,41.25mm,Top,0.0
R28,37.828mm,12.204mm,Top,270.0
