Designator,Mid X,Mid Y,Layer,Rotation
C2,24.609999mm,50.2mm,Bottom,0.0
C5,11.4mm,35.6mm,Bottom,90.0
D27,8.6375mm,35.5mm,Bottom,0.0
D28,7.5mm,52.7mm,Bottom,90.0
D29,7.5mm,56.7375mm,Bottom,90.0
D31,67.1mm,67.9mm,Bottom,0.0
D32,67.2mm,59.4mm,Bottom,0.0
G2,53.6mm,3.9mm,Bottom,180.0
G3,41.86mm,5.49mm,Bottom,180.0
J7,9.1mm,90.2mm,Bottom,0.0
J8,9.0mm,85.0mm,Bottom,90.0
Q8,49.925mm,60.825mm,Bottom,180.0
Q9,49.925mm,68.025mm,Bottom,180.0
Q18,71.7mm,67.9mm,Bottom,0.0
Q19,72.2mm,59.4mm,Bottom,0.0
Q24,77.6mm,67.9mm,Bottom,0.0
Q25,77.55mm,62.4625mm,Bottom,90.0
R3,26.4mm,4.8mm,Bottom,180.0
R4,26.4mm,3.2mm,Bottom,0.0
R29,56.4mm,13.1mm,Bottom,0.0
R57,8.7mm,38.5mm,Bottom,0.0
R60,14.350001mm,35.6mm,Bottom,0.0
R66,74.8mm,67.6mm,Bottom,270.0
R72,75.1mm,59.4mm,Bottom,270.0
R73,80.7mm,67.9mm,Bottom,270.0
R74,74.3mm,63.4mm,Bottom,180.0
C1,36.2mm,76.0mm,Top,270.0
C3,22.16mm,24.08mm,Top,90.0
C4,38.5mm,76.0mm,Top,270.0
C6,7.2mm,40.6mm,Top,180.0
D1,18.901499mm,79.7mm,Top,0.0
D2,18.701499mm,74.787497mm,Top,0.0
D3,18.778mm,95.008mm,Top,0.0
D4,18.901499mm,81.287497mm,Top,0.0
D5,18.7mm,73.1mm,Top,0.0
D6,18.398502mm,102.012502mm,Top,0.0
D7,18.298502mm,86.512502mm,Top,180.0
D8,18.3mm,91.706mm,Top,180.0
D9,8.6mm,80.3mm,Top,270.0
D10,13.0mm,75.1mm,Top,270.0
D11,13.0mm,95.9mm,Top,270.0
D12,13.0mm,80.3mm,Top,270.0
D13,8.6mm,75.1mm,Top,270.0
D14,8.6mm,101.1mm,Top,270.0
D15,13.0mm,85.5mm,Top,270.0
D16,13.0mm,90.7mm,Top,270.0
D17,8.6mm,95.9mm,Top,270.0
D18,79.65mm,84.3mm,Top,0.0
D19,77.4mm,99.7mm,Top,90.0
D20,13.0mm,101.1mm,Top,270.0
D21,18.778mm,93.484mm,Top,0.0
D22,18.4mm,100.2mm,Top,0.0
D23,14.35mm,38.7mm,Top,0.0
D24,12.9mm,32.7mm,Top,0.0
D25,8.1mm,38.75mm,Top,180.0
D26,6.2mm,35.365mm,Top,270.0
D30,8.85mm,31.57mm,Top,270.0
F1,54.846mm,84.25mm,Top,270.0
F2,52.052mm,84.3mm,Top,270.0
F3,41.1mm,84.3mm,Top,270.0
F4,36.7mm,84.3mm,Top,270.0
F5,32.3mm,84.2mm,Top,270.0
F6,69.05001mm,64.7mm,Top,0.0
F7,69.0mm,62.1mm,Top,0.0
J1,59.185mm,58.9mm,Top,90.0
J2,53.598607mm,5.0mm,Top,90.0
J5,23.5mm,13.9mm,Top,0.0
J6,26.8mm,3.915mm,Top,0.0
P1,30.75mm,92.599mm,Top,0.0
P2,78.1mm,59.1mm,Top,0.0
P3,60.4mm,1.9mm,Top,0.0
P4,60.4mm,4.8mm,Top,0.0
P5,56.4mm,10.9mm,Top,0.0
Q1,8.9625mm,35.5mm,Top,0.0
Q2,7.5mm,49.15mm,Top,90.0
Q3,12.79mm,29.91mm,Top,0.0
Q4,7.5mm,52.7mm,Top,90.0
Q5,11.0mm,49.1mm,Top,90.0
Q6,69.61mm,75.77mm,Top,270.0
Q7,69.8mm,90.6mm,Top,270.0
Q10,14.4mm,42.4mm,Top,270.0
Q11,78.275mm,75.9mm,Top,270.0
Q12,57.422756mm,76.422756mm,Top,180.0
Q13,47.5mm,77.6mm,Top,0.0
Q14,52.9625mm,76.1mm,Top,180.0
Q15,11.0mm,52.7mm,Top,90.0
Q16,8.5mm,46.4mm,Top,270.0
Q17,12.2mm,46.3mm,Top,270.0
Q20,78.2mm,90.6mm,Top,270.0
Q21,18.1625mm,35.5mm,Top,180.0
Q22,20.8mm,51.7mm,Top,0.0
Q23,20.8mm,48.3mm,Top,0.0
R1,18.5mm,83.9mm,Top,180.0
R2,18.5mm,77.3mm,Top,0.0
R5,18.5mm,97.6mm,Top,0.0
R6,72.4mm,103.4mm,Top,180.0
R7,59.164mm,84.8mm,Top,90.0
R8,49.836417mm,84.801579mm,Top,90.0
R9,47.882571mm,84.823049mm,Top,90.0
R10,43.3mm,84.8mm,Top,90.0
R11,24.5mm,84.8mm,Top,90.0
R12,27.2mm,84.8mm,Top,90.0
R13,72.4mm,101.0mm,Top,180.0
R14,72.4mm,98.9mm,Top,0.0
R15,57.132mm,84.8mm,Top,90.0
R16,45.4mm,84.8mm,Top,90.0
R17,38.9mm,84.8mm,Top,90.0
R18,34.5mm,84.8mm,Top,90.0
R19,30.0mm,84.8mm,Top,90.0
R20,61.196mm,84.848mm,Top,90.0
R21,7.4mm,61.2mm,Top,90.0
R22,7.4mm,70.6mm,Top,90.0
R23,10.65mm,61.2mm,Top,90.0
R24,7.4mm,66.1mm,Top,90.0
R25,50.9mm,13.6mm,Top,180.0
R26,50.9mm,11.6mm,Top,180.0
R27,39.1mm,12.3mm,Top,0.0
R28,39.1mm,10.8mm,Top,0.0
R30,15.7mm,51.5mm,Top,0.0
R31,14.8mm,35.3mm,Top,270.0
R32,57.3mm,78.9mm,Top,180.0
R33,43.6mm,78.6mm,Top,90.0
R34,7.4mm,56.8mm,Top,90.0
R35,10.65mm,70.6mm,Top,90.0
R36,10.622072mm,56.75999mm,Top,90.0
R37,10.65mm,66.1mm,Top,90.0
R38,53.3mm,66.6mm,Top,0.0
R39,53.3mm,63.5mm,Top,0.0
R40,30.7mm,78.2mm,Top,180.0
R41,53.3mm,60.5mm,Top,0.0
R42,53.3mm,57.5mm,Top,0.0
R43,49.9mm,66.6mm,Top,0.0
R44,49.9mm,63.5mm,Top,0.0
R45,49.9mm,60.5mm,Top,0.0
R46,49.9mm,57.5mm,Top,0.0
R47,15.4mm,47.525mm,Top,180.0
R48,10.04mm,43.52mm,Top,0.0
R49,35.6mm,38.9mm,Top,180.0
R50,35.6mm,41.8mm,Top,180.0
R51,39.1mm,9.3mm,Top,0.0
R52,39.1mm,13.8mm,Top,0.0
