Comment,Designator,Footprint,LCSC Part #
"~","C1","C0603",""
"100n","C2","C0603","C14663"
"100n","C3","C0603","C14663"
"~","C4","C0603",""
"100n","C5","C0603","C14663"
"100n","C6","C0603","C14663"
"1N4148WS","D1","SOD-323","C2128"
"1N4148WS","D2","SOD-323","C2128"
"1N4148WS","D3","SOD-323","C2128"
"1N4148WS","D4","SOD-323","C2128"
"1N4148WS","D5","SOD-323","C2128"
"1N4148WS","D6","SOD-323","C2128"
"1N4148WS","D7","SOD-323","C2128"
"1N4148WS","D8","SOD-323","C2128"
"LED-RED-0603","D9","LED-0603","C2286"
"LED-WHITE-0603","D10","LED-0603","C2290"
"LED-WHITE-0603","D11","LED-0603","C2290"
"LED-WHITE-0603","D12","LED-0603","C2290"
"LED-RED-0603","D13","LED-0603","C2286"
"LED-RED-0603","D14","LED-0603","C2286"
"LED-RED-0603","D15","LED-0603","C2286"
"LED-RED-0603","D16","LED-0603","C2286"
"LED-RED-0603","D17","LED-0603","C2286"
"B5819W","D18","SOD-123","C8598"
"B5819W","D19","SOD-123","C8598"
"LED-GREEN-0603","D20","LED-0603","C72043"
"1N4148WS","D21","SOD-323","C2128"
"1N4148WS","D22","SOD-323","C2128"
"B5819W","D23","SOD-123","C8598"
"B5819W","D24","SOD-123","C8598"
"B5819W","D25","SOD-123","C8598"
"B5819W","D26","SOD-123","C8598"
"PSM712-LF","D27","SOT-23","C32677"
"BAT54S","D28","SOT-23","C47546"
"BAT54S","D29","SOT-23","C47546"
"PSM712-LF","D30","SOT-23","C32677"
"B5819W","D31","SOD-123","C8598"
"B5819W","D32","SOD-123","C8598"
"nSMD005","F1","PAD-1206-PAD","C70064"
"nSMD005","F2","PAD-1206-PAD","C70064"
"nSMD050","F3","PAD-1206-PAD","C720075"
"nSMD050","F4","PAD-1206-PAD","C720075"
"12H1500D","F5","PAD-1206-PAD","C182446"
"nSMD005","F6","PAD-1206-PAD","C70064"
"nSMD005","F7","PAD-1206-PAD","C70064"
"DISCLAIMER","G1","",""
"LOGO","G2","LOGO",""
"LOGO","G3","LOGO",""
"LOGO_AlphaECU","G4","alphax_logo_AlphaECU",""
"LOGO_AlphaX","G5","alphax_logo_AlphaX",""
"ALPHAX_QR_CODE","G6","alphax_qr_code",""
"430451012","J1","Molex_Micro-Fit_3.0_43045-1012_2x05_P3.00mm_Vertical","C239457"
"Cortex_Debug","J2","PinHeader_2x05_P1.27mm_Vertical_SMD","C448647"
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Conn_01x05_Male","J5","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"USB_C_Receptacle_USB2.0","J6","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2927038"
"Pad","J7","PAD-TH",""
"Pad","J8","PAD-TH",""
"Pad","J9","PAD-TH",""
"Pad","J10","PAD-TH",""
"Module:power_12and5V/0.2","M1","power_12and5V",""
"Module:mega-mcu144/0.5","M2","mega-mcu144",""
"Module:vr-max9924/0.1","M3","vr-max9924",""
"Module:lin/0.1","M4","lin",""
"Module:can/0.1","M8","can",""
"33311-24AW-2","P1","33311-24AW-2",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"AO3401A","Q1","SOT-23","C15127"
"AO3401A","Q2","SOT-23","C15127"
"AO3400A","Q3","SOT-23"," C20917"
"AO3401A","Q4","SOT-23","C15127"
"AO3401A","Q5","SOT-23","C15127"
"VND14NV04-E","Q6","DPAK","C155647"
"VND14NV04-E","Q7","DPAK"," C155647"
"VND14NV04-E","Q8","DPAK","C155647"
"VND14NV04-E","Q9","DPAK"," C155647"
"AO3400A","Q10","SOT-23"," C20917"
"VND14NV04-E","Q11","DPAK","C155647"
"AO3401A","Q12","SOT-23","C15127"
"AO3401A","Q13","SOT-23","C15127"
"AO3400A","Q14","SOT-23"," C20917"
"AO3401A","Q15","SOT-23","C15127"
"AO3400A","Q16","SOT-23"," C20917"
"AO3400A","Q17","SOT-23"," C20917"
"PJM2319PSA","Q18","SOT-23","C411720"
"PJM2319PSA","Q19","SOT-23","C411720"
"VND14NV04-E","Q20","DPAK","C155647"
"AO3400A","Q21","SOT-23"," C20917"
"AO3400A","Q22","SOT-23"," C20917"
"AO3400A","Q23","SOT-23"," C20917"
"AO3400A","Q24","SOT-23"," C20917"
"AO3400A","Q25","SOT-23"," C20917"
"4.7k","R1","R0603-4","C66697"
"4.7k","R2","R0603-4","C66697"
"5.6k","R3","R0603","C23189"
"5.6k","R4","R0603","C23189"
"4.7k","R5","R0603-4","C66697"
"Jumper-Pad-Pad","R6","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R7","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R8","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R9","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R10","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R11","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R12","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R13","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R14","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R15","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R16","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R17","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R18","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R19","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R20","PAD-0805-PAD"," C17477"
"2k","R21","R1206","C17944"
"4.7k","R22","R1206","C17936"
"2k","R23","R1206","C17944"
"4.7k","R24","R1206","C17936"
"Jumper-Pad-Pad","R25","PAD-0805-PAD",""
"Jumper-Pad-Pad","R26","PAD-0805-PAD",""
"4.7k","R27","R0603","C23162"
"4.7k","R28","R0603","C23162"
"4.7k","R29","R0603","C23162"
"3.3k","R30","R0603","C22978"
"750","R31","R0805","C17818"
"2.7k","R32","R0603","C13167"
"2.7k","R33","R0603","C13167"
"2k","R34","R1206","C17944"
"4.7k","R35","R1206","C17936"
"2k","R36","R1206","C17944"
"4.7k","R37","R1206","C17936"
"DNP","R38","R0603",""
"DNP","R39","R0603",""
"SMD1206B035TF/16","R40","R1206","C269114"
"DNP","R41","R0603",""
"DNP","R42","R0603",""
"680k","R43","R0603","C25822"
"680k","R44","R0603","C25822"
"680k","R45","R0603","C25822"
"680k","R46","R0603","C25822"
"4.7k","R47","R0603","C23162"
"4.7k","R48","R0603","C23162"
"4.7k","R49","R0603","C23162"
"4.7k","R50","R0603","C23162"
"4.7k","R51","R0603","C23162"
"4.7k","R52","R0603","C23162"
"4.7k","R53","R0603","C23162"
"4.7k","R54","R0603","C23162"
"4.7k","R55","R0603","C23162"
"4.7k","R56","R0603","C23162"
"4.7k","R57","R0603","C23162"
"4.7k","R58","R0603","C23162"
"4.7k","R59","R0603","C23162"
"220","R60","R0805","C17557"
"4.7k","R61","R0603","C23162"
"4.7k","R62","R0603","C23162"
"4.7k","R63","R0603","C23162"
"4.7k","R64","R0603","C23162"
