# remove +5V pull-ups from SPI1, because we use it with +3.3v accelerometer
R103,
R105,

# remove jumper resistor connecting BOOT1 with A22 input line, because we use STM32F4
R131,

# STM32 whatever is cheapest would go, right?
U105,"STM32F407ZGT7","LQFP144","C19156"

# Alpha2Ch: We don't use SENS1-SENS4, so we don't need these OpAmp
U170,

# second CAN channel is a bit of an Easter egg, do not populate by default
U430,

# 20MHz crystal
Y102,"TXM20M0002503LFBEO00T","SMD5032-2P","C362485"

#CAN protection
"D430, D100","PESD1CAN","SOT-23(TO-236)","C907838"

#Analog MUX
"U270,U275,U280,U285","TS5A3157DCKR","SOT-363-6(SC-70-6)","C91307"

#SD Card
J100,"TF-014-H16","SMD","C2874208"

# DC-DC Inductor
L421,"MWSA0503S-100MT","MWSA0503","C408412"
#L420,"LBC3225T2R2MR","L1210","C223413"

# LMR14020->LMR14030 (more power, no problem)
#U420,"LMR14030","SOP8","C182078"

#fuses
F5,"Fuse-5A-1206","F1206","C553924"
F410,"nSMD050-24V","SMD1206","C70076"

# JLC-BOM stock shortages...
U411,"TLS115B0EJXUMA1","PG-DSO-8","C3743696"

# no Cortex 5x2 header
J2,"Cortex_Debug","PinHeader_2x05_P1.27mm_Vertical_SMD",""
# no MAP sensor
U3,"MPXH6400A","MPXH6400A-SSOP8",""
# smart MOSFETs
Q6,"VND10N06TR-E","DPAK","C2149912"
Q7,"VND10N06TR-E","DPAK","C2149912"
Q8,"VND10N06TR-E","DPAK","C2149912"
Q9,"VND10N06TR-E","DPAK","C2149912"
Q11,"VND10N06TR-E","DPAK","C2149912"
Q20,"VND10N06TR-E","DPAK","C2149912"

# no software for accelerometer
U106,

# analog switches for VR-discrete
#"U755, U756","WAS3157B-6","SOT-363","C213161"

#include hellen-one/board_id/generated/board_id_alpha2ch-g.csv
#include bom_pullups_alphax_2ch-g.csv
