Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100n","C0603",-24.609999,50.200000,0.000000,bottom
"C5","100n","C0603",-11.400000,35.600000,90.000000,bottom
"D27","PSM712-LF","SOT-23",-8.637500,35.500000,180.000000,bottom
"D28","BAT54S","SOT-23",-7.500000,52.700000,-90.000000,bottom
"D29","BAT54S","SOT-23",-7.500000,56.737500,-90.000000,bottom
"D31","B5819W","SOD-123",-67.100000,67.900000,0.000000,bottom
"D32","B5819W","SOD-123",-67.200000,59.400000,0.000000,bottom
"G2","LOGO","LOGO",-53.600000,3.900000,180.000000,bottom
"G3","LOGO","LOGO",-41.860000,5.490000,180.000000,bottom
"J7","Pad","PAD-TH",-9.100000,90.200000,0.000000,bottom
"J8","Pad","PAD-TH",-9.000000,85.000000,90.000000,bottom
"Q8","VND14NV04-E","DPAK",-49.925000,60.825000,0.000000,bottom
"Q9","VND14NV04-E","DPAK",-49.925000,68.025000,0.000000,bottom
"Q18","PJM2319PSA","SOT-23",-71.700000,67.900000,180.000000,bottom
"Q19","PJM2319PSA","SOT-23",-72.200000,59.400000,180.000000,bottom
"Q24","AO3400A","SOT-23",-77.600000,67.900000,180.000000,bottom
"Q25","AO3400A","SOT-23",-77.550000,62.462500,-90.000000,bottom
"R3","5.6k","R0603",-26.400000,4.800000,180.000000,bottom
"R4","5.6k","R0603",-26.400000,3.200000,0.000000,bottom
"R29","4.7k","R0603",-56.400000,13.100000,0.000000,bottom
"R57","4.7k","R0603",-8.700000,38.500000,0.000000,bottom
"R60","220","R0805",-14.350001,35.600000,0.000000,bottom
"R66","4.7k","R0603",-74.800000,67.600000,-90.000000,bottom
"R72","4.7k","R0603",-75.100000,59.400000,-90.000000,bottom
"R73","4.7k","R0603",-80.700000,67.900000,-90.000000,bottom
"R74","4.7k","R0603",-74.300000,63.400000,180.000000,bottom
"C1","~","C0603",36.200000,76.000000,-90.000000,top
"C3","100n","C0603",22.160000,24.080000,90.000000,top
"C4","~","C0603",38.500000,76.000000,-90.000000,top
"C6","100n","C0603",7.200000,40.600000,180.000000,top
"D1","1N4148WS","SOD-323",18.901499,79.700000,0.000000,top
"D2","1N4148WS","SOD-323",18.701499,74.787497,0.000000,top
"D3","1N4148WS","SOD-323",18.778000,95.008000,0.000000,top
"D4","1N4148WS","SOD-323",18.901499,81.287497,0.000000,top
"D5","1N4148WS","SOD-323",18.700000,73.100000,0.000000,top
"D6","1N4148WS","SOD-323",18.398502,102.012502,0.000000,top
