"Comment","Designator","Footprint","LCSC Part #"
"100n","C2","hellen-one-common:C0603","C14663"
"100n","C3","hellen-one-common:C0603","C14663"
"100n","C5","hellen-one-common:C0603","C14663"
"1N4148WS","D1","hellen-one-common:SOD-323","C2128"
"1N4148WS","D2","hellen-one-common:SOD-323","C2128"
"1N4148WS","D3","hellen-one-common:SOD-323","C2128"
"1N4148WS","D4","hellen-one-common:SOD-323","C2128"
"1N4148WS","D5","hellen-one-common:SOD-323","C2128"
"1N4148WS","D6","hellen-one-common:SOD-323","C2128"
"1N4148WS","D7","hellen-one-common:SOD-323","C2128"
"1N4148WS","D8","hellen-one-common:SOD-323","C2128"
"LED-RED-0603","D9","hellen-one-common:LED-0603","C2286"
"LED-WHITE-0603","D10","hellen-one-common:LED-0603","C2290"
"LED-WHITE-0603","D11","hellen-one-common:LED-0603","C2290"
"LED-WHITE-0603","D12","hellen-one-common:LED-0603","C2290"
"LED-RED-0603","D13","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D14","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D15","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D16","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D17","hellen-one-common:LED-0603","C2286"
"LED-BLUE-0603","D18","hellen-one-common:LED-0603","C72041"
"LED-BLUE-0603","D19","hellen-one-common:LED-0603","C72041"
"LED-GREEN-0603","D20","hellen-one-common:LED-0603","C72043"
"1N4148WS","D21","hellen-one-common:SOD-323","C2128"
"1N4148WS","D22","hellen-one-common:SOD-323","C2128"
"PSM712-LF","D23","hellen-one-common:SOT-23","C32677"
"B5819W","D24","hellen-one-common:SOD-123","C8598"
"B5819W","D25","hellen-one-common:SOD-123","C8598"
"B5819W","D26","hellen-one-common:SOD-123","C8598"
"B5819W","D27","hellen-one-common:SOD-123","C8598"
"B5819W","D28","hellen-one-common:SOD-123","C8598"
"B5819W","D29","hellen-one-common:SOD-123","C8598"
"BAT54S","D30","Package_TO_SOT_SMD:SOT-23","C408389"
"BAT54S","D31","Package_TO_SOT_SMD:SOT-23","C408389"
"nSMD005","F1","hellen-one-common:PAD-1206-PAD","C369153"
"nSMD005","F2","hellen-one-common:PAD-1206-PAD","C369153"
"nSMD050","F3","hellen-one-common:PAD-1206-PAD","C720075"
"nSMD050","F4","hellen-one-common:PAD-1206-PAD","C720075"
"12H1500D","F5","hellen-one-common:PAD-1206-PAD","C182446"
"DISCLAIMER","G1","",""
"LOGO","G2","rusefi_lib:LOGO",""
"LOGO","G3","hellen-one-common:LOGO",""
"LOGO_AlphaECU","G4","alphax-2ch:alphax_logo_AlphaECU",""
"LOGO_AlphaX","G5","alphax-2ch:alphax_logo_AlphaX",""
"ALPHAX_QR_CODE","G6","alphax-2ch:alphax_qr_code",""
"USB_B_Mini","J1","hellen-one-common:USB-MINI-B-HORIZONTAL","C69074"
"Cortex_Debug","J2","hellen-one-common:PinHeader_2x05_P1.27mm_Vertical_SMD","C448647"
"Conn_01x01","J3","TestPoint:TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint:TestPoint_Pad_D2.0mm",""
"Pad","J7","hellen-one-common:PAD-TH",""
"Pad","J8","hellen-one-common:PAD-TH",""
"Module-power_12and5V-0.1","M1","hellen-one-power_12and5V-0.1:power_12and5V",""
"Module-vr-discrete-0.1","M3","hellen-one-vr-discrete-0.1:vr-discrete",""
"mega-mcu144-0.1","M4","hellen-one-mega-mcu144-0.1:mega-mcu144",""
"Module-can-0.1","M8","hellen-one-can-0.1:can",""
"33311-24AW-2","P1","alphax-2ch:33311-24AW-2",""
"Pad","P2","hellen-one-common:PAD-TH",""
"Pad","P3","hellen-one-common:PAD-TH",""
"Pad","P4","hellen-one-common:PAD-TH",""
"AO3400A","Q1","hellen-one-common:SOT-23"," C20917"
"AO3400A","Q2","hellen-one-common:SOT-23"," C20917"
"AO3401A","Q4","hellen-one-common:SOT-23","C15127"
"AO3401A","Q5","hellen-one-common:SOT-23","C15127"
"VND14NV04-E","Q6","hellen-one-common:DPAK","C155647"
"VND14NV04-E","Q7","hellen-one-common:DPAK"," C155647"
"VND14NV04-E","Q8","hellen-one-common:DPAK"," C155647"
"VND14NV04-E","Q9","hellen-one-common:DPAK"," C155647"
"AO3400A","Q10","hellen-one-common:SOT-23"," C20917"
"AO3400A","Q11","hellen-one-common:SOT-23"," C20917"
"AO3400A","Q12","hellen-one-common:SOT-23"," C20917"
"AO3401A","Q13","hellen-one-common:SOT-23","C15127"
"AO3401A","Q14","hellen-one-common:SOT-23","C15127"
"AO3400A","Q15","hellen-one-common:SOT-23"," C20917"
"AO3401A","Q16","hellen-one-common:SOT-23","C15127"
"AO3401A","Q17","hellen-one-common:SOT-23","C15127"
"AO3401A","Q18","hellen-one-common:SOT-23","C15127"
"AO3400A","Q19","hellen-one-common:SOT-23"," C20917"
"AO3400A","Q20","hellen-one-common:SOT-23"," C20917"
"AO3400A","Q21","hellen-one-common:SOT-23"," C20917"
"AO3401A","Q22","hellen-one-common:SOT-23","C15127"
"4.7k","R1","hellen-one-common:R0603-4","C1980"
"4.7k","R2","hellen-one-common:R0603-4","C1980"
"1k","R4","hellen-one-common:R0603-4","C240722"
"4.7k","R5","hellen-one-common:R0603-4","C1980"
"Jumper-Pad-Pad","R6","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R7","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R8","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R9","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R10","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R11","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R12","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R13","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R14","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R15","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R16","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R17","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R18","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R19","hellen-one-common:PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R20","hellen-one-common:PAD-0805-PAD"," C17477"
"2k","R21","hellen-one-common:R1206","C17944"
"4.7k","R22","hellen-one-common:R1206","C17936"
